Run	Assay_Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center_Name	Collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_continent_or_ocean	geo_loc_name	Altitude/Depth	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample_Name	SRA Study	BioSampleModel	lat_lon	Library Name	env_biome	env_feature	env_material	Investigation_type	project_name	Host	sample_title	Description	env_type
SRR13377136	WGS	10733	53823989448	PRJNA682552	SAMN17088346	46675546235	UNIVERSITY OF TUEBINGEN	30/10/2019	public	fastq,sra	s3,gs	gs.US,s3.us-east-1	SRX9800104	Germany	Europe	Germany: Bremen, pond		PromethION	SINGLE	RANDOM	METAGENOMIC	freshwater sediment metagenome	OXFORD_NANOPORE	2021-05-17T00:00:00Z	QMFCE028A9	SRP295852	MIMS.me,MIGS/MIMS/MIMARKS.sediment	53.11 N 8.847 E	Culture KS autotrophic D7									freshwater
SRR13377137	WGS	302	48815177622	PRJNA682552	SAMN17088345	14184818685	UNIVERSITY OF TUEBINGEN	30/10/2019	public	fastq,sra	s3,gs	gs.US,s3.us-east-1	SRX9800103	Germany	Europe	Germany: Bremen, pond		Illumina NovaSeq 6000	PAIRED	RANDOM	METAGENOMIC	freshwater sediment metagenome	ILLUMINA	2021-05-17T00:00:00Z	QMFCE027A1	SRP295852	MIMS.me,MIGS/MIMS/MIMARKS.sediment	53.11 N 8.847 E	Culture KS heterotrophic D13									freshwater
SRR1596540	WGS	247	262576	PRJNA237127	SAMN02615918	104979	UNIVERSITY OF CALIFORNIA IRVINE	30/10/2019	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX719773	USA	North America	USA: Sedgwick Reserve, CA		unspecified	SINGLE	RANDOM PCR	METAGENOMIC	soil metagenome	LS454	2014-10-03T00:00:00Z	SR1	SRP036162	MIMS.me,MIGS/MIMS/MIMARKS.soil	34.7 N 120.05 W	"""Sedgwick Reserve, CA USA 1"": SR1"	deciduous/broadleaf forest	mineral	soil	metagenome					soil
SRR18969719	WGS	1796	482619709	PRJNA833246	SAMN27966076	439536227	MACQUARIE UNIVERSITY	20/08/2021	public	sra,fastq	gs,s3	s3.us-east-1,gs.US	SRX15045709	Australia	Oceania	Australia: Mars Creek, Sydney		MinION	SINGLE	RANDOM	METAGENOMIC	metagenome	OXFORD_NANOPORE	2022-04-29T00:00:00Z	MCB-D_MG	SRP372787	Metagenome or environmental	33.770639 S 151.115282 E	MCB-D									freshwater
SRR18969720	WGS	2582	3651709487	PRJNA833246	SAMN27966075	3337065909	MACQUARIE UNIVERSITY	05/12/2020	public	fastq,sra	ncbi,s3,gs	s3.us-east-1,gs.US,ncbi.public	SRX15045708	Australia	Oceania	Australia: Mars Creek, Sydney		MinION	SINGLE	RANDOM	METAGENOMIC	metagenome	OXFORD_NANOPORE	2022-04-29T00:00:00Z	MCB-C_MG	SRP372787	Metagenome or environmental	33.770652 S 151.115274 E	MCB-C									freshwater
SRR9656170	WGS	250	2266761250	PRJNA552615	SAMN12214517	801397024	THE UNIVERSITY OF AUCKLAND	05/12/2020	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX6417516	New Zealand	Oceania	New Zealand: Waikato		Illumina HiSeq 2500	PAIRED	RANDOM	METAGENOMIC	soil metagenome	ILLUMINA	2020-08-01T00:00:00Z	t.PP_CCRA9ANXX-2739-70-32-01_S70	SRP213734	MIMS.me,MIGS/MIMS/MIMARKS.soil	38.26173899 S 174.89873755 E	t.PP_CCRA9ANXX-2739-70-32-01_S70	terrestrial	temperate conifer forest	bulk soil						soil
SRR14559657	WGS	357	950027198	PRJNA730231	SAMN19225393	438448195	AARHUS UNIVERSITY	27/08/2020	public	sra,fastq	gs,s3	gs.US,s3.us-east-1	SRX10902969	Denmark	Europe	Denmark: Aarhus		Illumina MiSeq	PAIRED	PCR	METAGENOMIC	freshwater sediment metagenome	ILLUMINA	2021-05-16T00:00:00Z	Metagenome of Ca. Electronema aureum GS enrichment	SRP319990	Metagenome or environmental	56.164874 N 10.207888 E	GS5									freshwater
SRR14559660	WGS	357	3450061591	PRJNA730231	SAMN19225393	1747744182	AARHUS UNIVERSITY	27/08/2020	public	fastq,sra	gs,s3	s3.us-east-1,gs.US	SRX10902966	Denmark	Europe	Denmark: Aarhus		Illumina MiSeq	PAIRED	PCR	METAGENOMIC	freshwater sediment metagenome	ILLUMINA	2021-05-16T00:00:00Z	Metagenome of Ca. Electronema aureum GS enrichment	SRP319990	Metagenome or environmental	56.164874 N 10.207888 E	GSL									freshwater
ERR2653383	WGS	501	18040458834	PRJEB26788	SAMEA4745138	8966279138	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	27/08/2020	public	sra,fastq	s3,gs	gs.US,s3.us-east-1	ERX2669837	Barbados	North America			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	BA_2612_N_TSP1	ERP108804		13.165 N 59.432 W	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653384	WGS	501	16750731283	PRJEB26788	SAMEA4745139	8247446658	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	27/08/2020	public	fastq,sra	ncbi,s3,gs	ncbi.public,gs.US,s3.us-east-1	ERX2669838	Barbados	North America			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	BA_2612_O_TSP2	ERP108804		13.165 N 59.432 W	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653389	WGS	479	18090520904	PRJEB26788	SAMEA4745144	9080523048	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	27/08/2020	public	sra,fastq	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	ERX2669843	Cyprus	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	CY_2429_A_HDE1_1	ERP108804		35.038 N 33.057 E	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653390	WGS	501	19244354690	PRJEB26788	SAMEA4745145	9595306919	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	27/08/2020	public	sra,fastq	s3,gs	s3.us-east-1,gs.US	ERX2669844	Cyprus	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	CY_2612_L_Lichen_AM	ERP108804		35.038 N 33.057 E	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653391	WGS	501	16575598306	PRJEB26788	SAMEA4745146	8191806171	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	27/08/2020	public	sra,fastq	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	ERX2669845	Cyprus	Asia			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	CY_2612_M_Lichen_DI	ERP108804		34.963 N 32.377 E	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653386	WGS	501	13715871677	PRJEB26788	SAMEA4745141	6887259245	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	27/08/2020	public	fastq,sra	gs,s3	s3.us-east-1,gs.US	ERX2669840	Barbados	North America			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	SAMEA4745141	ERP108804		13.165 N 59.432 W	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
ERR2653387	WGS	501	1814846999	PRJEB26788	SAMEA4745142	909607853	MPIC (MAX-PLANCK-INSTITUTE FOR CHEMISTRY, GERMANY)	15/06/2020	public	fastq,sra	gs,ncbi,s3	ncbi.public,gs.US,s3.us-east-1	ERX2669841	Barbados	North America			Illumina HiSeq 2500	PAIRED	unspecified	METAGENOMIC	air metagenome	ILLUMINA	2021-05-19T00:00:00Z	SAMEA4745142	ERP108804		13.165 N 59.432 W	unspecified	air	air	air	metagenome	Shotgun_Metagenmics				air
